month,year,fiscal_year,gross_sales_amount
September,2019,2020,9.09
October,2019,2020,10.38
November,2019,2020,15.23
December,2019,2020,9.76
January,2020,2020,9.58
February,2020,2020,8.08
March,2020,2020,0.77
April,2020,2020,0.80
May,2020,2020,1.59
June,2020,2020,3.43
July,2020,2020,5.15
August,2020,2020,5.64
September,2020,2021,19.53
October,2020,2021,21.02
November,2020,2021,32.25
December,2020,2021,20.41
January,2021,2021,19.57
February,2021,2021,15.99
March,2021,2021,19.15
April,2021,2021,11.48
May,2021,2021,19.20
June,2021,2021,15.46
July,2021,2021,19.04
August,2021,2021,11.32
